TIME;IOITSecure447 > R Ph Voltage;IOITSecure447 > Y Ph Voltage;IOITSecure447 > B Ph Voltage;IOITSecure447 > Average Phase Voltage;IOITSecure447 > RY Line Voltage;IOITSecure447 > YB Line Voltage;IOITSecure447 > BR Line Voltage;IOITSecure447 > R Phase Line current ;IOITSecure447 > Y Phase Line current ;IOITSecure447 > B Phase Line current ;IOITSecure447 > Neutral Line current  ;IOITSecure447 > R Phase Active Current;IOITSecure447 > Y Phase Active Current;IOITSecure447 > B Phase Active Current;IOITSecure447 > R Phase Reactive Current;IOITSecure447 > Y Phase Reactive Current;IOITSecure447 > B Phase Reactive Current;IOITSecure447 > R- Phase Active Power;IOITSecure447 > Y- Phase Active Power;IOITSecure447 > B- Phase Active Power;IOITSecure447 > 3 Phase Active Power;IOITSecure447 > R- Phase Reactive Power;IOITSecure447 > Y- Phase Reactive Power;IOITSecure447 > B- Phase Reactive Power;IOITSecure447 > 3 Phase Reactive Power;IOITSecure447 > R- Phase Apparent Power;IOITSecure447 > Y- Phase Apparent Power;IOITSecure447 > B- Phase Apparent Power;IOITSecure447 > 3 Phase Apparent  Power
17/04/2024 00:00:00;233.87;235.12;236.22;235.07;407.20;405.37;408.74;48.33;42.50;31.80;19.23;42.09;38.10;31.42;23.76;18.64;5.10;9.74;8.92;7.35;26.01;5.56;4.37;1.23;11.16;11.27;9.98;7.53;28.48
17/04/2024 00:00:10;233.77;235.03;236.16;234.98;406.94;405.29;408.64;48.30;42.72;32.04;18.77;42.05;38.65;31.63;23.78;18.75;5.20;9.75;9.08;7.35;26.18;5.55;4.39;1.22;11.16;11.27;9.98;7.53;28.48
17/04/2024 00:00:20;233.77;235.03;236.16;234.98;406.94;405.29;408.64;48.30;42.72;32.04;18.77;42.05;38.65;31.63;23.78;18.75;5.20;9.75;9.08;7.35;26.18;5.55;4.39;1.22;11.17;11.29;10.16;7.51;28.69
17/04/2024 00:00:30;233.61;235.00;236.19;235.03;407.13;405.34;408.71;48.23;42.57;31.76;19.11;42.01;38.20;31.38;23.81;18.67;5.12;9.73;8.92;7.34;26.00;5.57;4.38;1.23;11.18;11.31;10.01;7.53;28.51
17/04/2024 00:00:40;233.79;235.11;236.15;235.02;407.21;405.34;408.71;48.23;42.57;31.76;19.11;42.01;38.20;31.38;23.81;18.67;5.12;9.73;8.92;7.34;26.00;5.57;4.38;1.23;11.18;11.31;10.01;7.53;28.51
17/04/2024 00:00:50;233.79;235.11;236.15;235.02;407.21;405.38;408.80;48.35;42.48;31.95;19.03;42.05;38.11;31.50;23.83;18.73;5.15;9.74;8.92;7.37;26.04;5.55;4.40;1.23;11.20;11.31;9.99;7.54;28.55
17/04/2024 00:01:00;233.93;235.14;236.32;235.16;407.31;405.74;409.22;48.47;43.55;31.82;18.35;42.06;39.38;31.37;23.94;18.73;5.15;9.74;8.92;7.37;26.04;5.55;4.40;1.23;11.20;11.31;9.99;7.54;28.55
17/04/2024 00:01:10;233.93;235.14;236.32;235.16;407.31;405.74;409.22;48.47;43.55;31.82;18.35;42.06;39.38;31.37;23.94;18.75;5.12;9.77;9.23;7.35;26.35;5.58;4.38;1.23;11.25;11.33;10.28;7.54;28.88
17/04/2024 00:01:20;234.44;235.71;236.69;235.75;408.48;406.50;409.95;48.45;42.86;31.71;19.04;41.97;38.43;31.32;24.01;18.76;5.16;9.76;8.99;7.35;26.35;5.58;4.38;1.23;11.25;11.33;10.28;7.54;28.88
17/04/2024 00:01:30;234.44;235.71;236.69;235.75;408.48;406.50;409.95;48.45;42.86;31.71;19.04;41.97;38.43;31.32;24.01;18.76;5.16;9.76;8.99;7.36;26.13;5.64;4.44;1.22;11.30;11.37;10.06;7.54;28.64
